"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english"
"Black-legged Kittiwake","BLKI","coastal",400,"Black-legged Kittiwake",TRUE,TRUE,TRUE,"Black-legged Kittiwake"
"Black-necked Stilt","BNST","marshlands",2260,"Black-necked Stilt",TRUE,TRUE,TRUE,"Black-necked Stilt"
"Blackpoll Warbler","BLPW","boreal_forests",6610,"Blackpoll Warbler",TRUE,TRUE,TRUE,"Blackpoll Warbler"
"Black-tailed Gnatcatcher","BTGN","aridlands",7520,"Black-tailed Gnatcatcher",TRUE,TRUE,TRUE,"Black-tailed Gnatcatcher"
"Black-throated Blue Warbler","BTBW","eastern_forests",6540,"Black-throated Blue Warbler",TRUE,TRUE,TRUE,"Black-throated Blue Warbler"
"Black-throated Gray Warbler","BTYW","western_forests",6650,"Black-throated Gray Warbler",TRUE,TRUE,TRUE,"Black-throated Gray Warbler"
"Black-throated Green Warbler","BTNW","eastern_forests",6670,"Black-throated Green Warbler",TRUE,TRUE,TRUE,"Black-throated Green Warbler"
"Black-throated Sparrow","BTSP","aridlands",5730,"Black-throated Sparrow",TRUE,TRUE,TRUE,"Black-throated Sparrow"
"Black-vented Shearwater","BVSH","coastal",930,"Black-vented Shearwater",FALSE,FALSE,FALSE,NA
"Blue Grosbeak","BLGR","subtropical_forests",5970,"Blue Grosbeak",TRUE,TRUE,TRUE,"Blue Grosbeak"
"Blue Jay","BLJA","eastern_forests",4770,"Blue Jay",TRUE,TRUE,TRUE,"Blue Jay"
"Blue-gray Gnatcatcher","BGGN","generalists",7510,"Blue-gray Gnatcatcher",TRUE,TRUE,TRUE,"Blue-gray Gnatcatcher"
"Blue-headed Vireo","BHVI","eastern_forests",6290,"Blue-headed Vireo",TRUE,TRUE,TRUE,"Blue-headed Vireo"
"Blue-winged Teal","BWTE","marshlands",1400,"Blue-winged Teal",TRUE,TRUE,TRUE,"Blue-winged Teal"
"Blue-winged Warbler","BWWA","eastern_forests",6410,"Blue-winged Warbler",TRUE,TRUE,TRUE,"Blue-winged Warbler"
"Boat-tailed Grackle","BTGR","coastal",5130,"Boat-tailed Grackle",TRUE,TRUE,TRUE,"Boat-tailed Grackle"
"Bobolink","BOBO","grasslands",4940,"Bobolink",TRUE,TRUE,TRUE,"Bobolink"
"Bohemian Waxwing","BOWA","boreal_forests",6180,"Bohemian Waxwing",TRUE,TRUE,TRUE,"Bohemian Waxwing"
"Bonaparte's Gull","BOGU","waterbirds",600,"Bonaparte's Gull",TRUE,TRUE,TRUE,"Bonaparte's Gull"
"Boreal Chickadee","BOCH","boreal_forests",7400,"Boreal Chickadee",TRUE,TRUE,TRUE,"Boreal Chickadee"
"Boreal Owl","BOOW","boreal_forests",3710,"Boreal Owl",TRUE,TRUE,TRUE,"Boreal Owl"
"Botteri's Sparrow","BOSP","grasslands",5760,"Botteri's Sparrow",TRUE,TRUE,TRUE,"Botteri's Sparrow"
"Brandt's Cormorant","BRAC","coastal",1220,"Brandt's Cormorant",TRUE,TRUE,TRUE,"Brandt's Cormorant"
"Brant","BRAN","waterbirds",NA,NA,FALSE,TRUE,TRUE,"Brant"
"Brewer's Blackbird","BRBL","generalists",5100,"Brewer's Blackbird",TRUE,TRUE,TRUE,"Brewer's Blackbird"
"Brewer's Sparrow","BRSP","aridlands",5620,"Brewer's Sparrow",TRUE,TRUE,TRUE,"Brewer's Sparrow"
"Bridled Titmouse","BRTI","subtropical_forests",7340,"Bridled Titmouse",TRUE,TRUE,TRUE,"Bridled Titmouse"
"Broad-billed Hummingbird","BBIH","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Broad-billed Hummingbird"
"Broad-tailed Hummingbird","BTAH","western_forests",NA,NA,FALSE,TRUE,TRUE,"Broad-tailed Hummingbird"
"Broad-winged Hawk","BWHA","eastern_forests",3430,"Broad-winged Hawk",TRUE,TRUE,TRUE,"Broad-winged Hawk"
"Bronzed Cowbird","BROC","aridlands",4960,"Bronzed Cowbird",TRUE,TRUE,TRUE,"Bronzed Cowbird"
"Brown Creeper","BRCR","western_forests",7260,"Brown Creeper",TRUE,TRUE,TRUE,"Brown Creeper"
"Brown Pelican","BRPE","coastal",1260,"Brown Pelican",TRUE,TRUE,TRUE,"Brown Pelican"
"Brown Thrasher","BRTH","eastern_forests",7050,"Brown Thrasher",TRUE,TRUE,TRUE,"Brown Thrasher"
"Brown-capped Rosy-Finch","BCRF","arctic",5260,"Brown-capped Rosy-Finch",TRUE,TRUE,TRUE,"Brown-capped Rosy-Finch"
"Brown-crested Flycatcher","BCFL","aridlands",4530,"Brown-crested Flycatcher",TRUE,TRUE,TRUE,"Brown-crested Flycatcher"
"Brown-headed Cowbird","BHCO","generalists",4950,"Brown-headed Cowbird",TRUE,TRUE,TRUE,"Brown-headed Cowbird"
"Brown-headed Nuthatch","BHNU","eastern_forests",7290,"Brown-headed Nuthatch",TRUE,TRUE,TRUE,"Brown-headed Nuthatch"
"Buff-bellied Hummingbird","BBEH","subtropical_forests",NA,NA,FALSE,TRUE,TRUE,"Buff-bellied Hummingbird"
"Buff-breasted Sandpiper","BBSA","waterbirds",2620,"Buff-breasted Sandpiper",TRUE,TRUE,TRUE,"Buff-breasted Sandpiper"
"Bufflehead","BUFF","waterbirds",1530,"Bufflehead",TRUE,TRUE,TRUE,"Bufflehead"
"Bullock's Oriole","BUOR","western_forests",5080,"Bullock's Oriole",TRUE,TRUE,TRUE,"Bullock's Oriole"
"Burrowing Owl","BUOW","grasslands",3780,"Burrowing Owl",TRUE,TRUE,TRUE,"Burrowing Owl"
"Bushtit","BUSH","western_forests",7430,"Bushtit",TRUE,TRUE,TRUE,"Bushtit"
"Cackling Goose","CACG","marshlands",1722,"Cackling Goose",FALSE,TRUE,TRUE,"Cackling Goose"
"Cactus Wren","CACW","aridlands",7130,"Cactus Wren",TRUE,TRUE,TRUE,"Cactus Wren"
"California Gnatcatcher","CAGN","aridlands",7530,"California Gnatcatcher",TRUE,TRUE,TRUE,"California Gnatcatcher"
"California Gull","CAGU","waterbirds",530,"California Gull",TRUE,TRUE,TRUE,"California Gull"
"California Quail","CAQU","aridlands",NA,NA,FALSE,TRUE,TRUE,"California Quail"
"California Scrub-Jay","CASJ","western_forests",NA,NA,FALSE,TRUE,TRUE,"California Scrub-Jay"
"California Thrasher","CATH","aridlands",7100,"California Thrasher",TRUE,TRUE,TRUE,"California Thrasher"
"California Towhee","CALT","aridlands",5911,"California Towhee",TRUE,TRUE,TRUE,"California Towhee"
"Calliope Hummingbird","CAHU","western_forests",4360,"Calliope Hummingbird",TRUE,TRUE,TRUE,"Calliope Hummingbird"
"Canada Goose","CANG","waterbirds",NA,NA,FALSE,TRUE,TRUE,"Canada Goose"
"Canada Jay","CAJA","boreal_forests",NA,NA,FALSE,TRUE,TRUE,"Canada Jay"
"Canada Warbler","CAWA","boreal_forests",6860,"Canada Warbler",TRUE,TRUE,TRUE,"Canada Warbler"
"Canvasback","CANV","marshlands",1470,"Canvasback",TRUE,TRUE,TRUE,"Canvasback"
"Canyon Towhee","CANT","aridlands",5910,"Canyon Towhee",TRUE,TRUE,TRUE,"Canyon Towhee"
"Canyon Wren","CANW","aridlands",7170,"Canyon Wren",TRUE,TRUE,TRUE,"Canyon Wren"
"Cape May Warbler","CMWA","boreal_forests",6500,"Cape May Warbler",TRUE,TRUE,TRUE,"Cape May Warbler"
"Carolina Chickadee","CACH","eastern_forests",7360,"Carolina Chickadee",TRUE,TRUE,TRUE,"Carolina Chickadee"
"Carolina Wren","CARW","eastern_forests",7180,"Carolina Wren",TRUE,TRUE,TRUE,"Carolina Wren"
"Caspian Tern","CATE","waterbirds",640,"Caspian Tern",TRUE,TRUE,TRUE,"Caspian Tern"
"Cassin's Auklet","CAAU","coastal",160,"Cassin's Auklet",TRUE,TRUE,TRUE,"Cassin's Auklet"
"Cassin's Finch","CAFI","western_forests",5180,"Cassin's Finch",TRUE,TRUE,TRUE,"Cassin's Finch"
"Cassin's Kingbird","CAKI","aridlands",4480,"Cassin's Kingbird",TRUE,TRUE,TRUE,"Cassin's Kingbird"
"Cassin's Sparrow","CASP","grasslands",5780,"Cassin's Sparrow",TRUE,TRUE,TRUE,"Cassin's Sparrow"
"Cassin's Vireo","CAVI","western_forests",6292,"Cassin's Vireo",TRUE,TRUE,TRUE,"Plumbeous Vireo"
"Cattle Egret","CAEG","waterbirds",2001,"Cattle Egret",TRUE,FALSE,TRUE,"Western Cattle-Egret"
"Cave Swallow","CASW","aridlands",6121,"Cave Swallow",TRUE,TRUE,TRUE,"Cave Swallow"
"Cedar Waxwing","CEDW","generalists",6190,"Cedar Waxwing",TRUE,TRUE,TRUE,"Cedar Waxwing"
"Cerulean Warbler","CERW","eastern_forests",6580,"Cerulean Warbler",TRUE,TRUE,TRUE,"Cerulean Warbler"
"Chestnut-backed Chickadee","CBCH","western_forests",7410,"Chestnut-backed Chickadee",TRUE,TRUE,TRUE,"Chestnut-backed Chickadee"
"Chestnut-collared Longspur","CCLO","grasslands",5380,"Chestnut-collared Longspur",TRUE,TRUE,TRUE,"Chestnut-collared Longspur"
"Chestnut-sided Warbler","CSWA","eastern_forests",6590,"Chestnut-sided Warbler",TRUE,TRUE,TRUE,"Chestnut-sided Warbler"
"Chihuahuan Raven","CHRA","aridlands",4870,"Chihuahuan Raven",TRUE,TRUE,TRUE,"Chihuahuan Raven"
"Chimney Swift","CHSW","eastern_forests",4230,"Chimney Swift",TRUE,TRUE,TRUE,"Chimney Swift"
"Chipping Sparrow","CHSP","generalists",5600,"Chipping Sparrow",TRUE,TRUE,TRUE,"Chipping Sparrow"
"Chuck-will's-widow","CWWI","eastern_forests",4160,"Chuck-will's-widow",TRUE,TRUE,TRUE,"Chuck-will's-widow"
"Chukar","CHUK","aridlands",NA,NA,FALSE,TRUE,TRUE,"Chukar"
"Cinnamon Teal","CITE","marshlands",1410,"Cinnamon Teal",TRUE,TRUE,TRUE,"Cinnamon Teal"
"Clapper Rail","CLRA","coastal",2110,"Clapper Rail",TRUE,TRUE,TRUE,"Clapper Rail"
"Clark's Grebe","CLGR","marshlands",11,"Clark's Grebe",TRUE,TRUE,TRUE,"Clark's Grebe"
"Clark's Nutcracker","CLNU","western_forests",4910,"Clark's Nutcracker",TRUE,TRUE,TRUE,"Clark's Nutcracker"
"Clay-colored Sparrow","CCSP","grasslands",5610,"Clay-colored Sparrow",TRUE,TRUE,TRUE,"Clay-colored Sparrow"
"Cliff Swallow","CLSW","generalists",6120,"Cliff Swallow",TRUE,TRUE,TRUE,"Cliff Swallow"
"Common Eider","COEI","coastal",1590,"Common Eider",TRUE,TRUE,TRUE,"Common Eider"
"Common Gallinule","COGA","marshlands",2190,"Common Gallinule",TRUE,TRUE,TRUE,"Common Gallinule"
"Common Goldeneye","COGO","waterbirds",1510,"Common Goldeneye",TRUE,TRUE,TRUE,"Common Goldeneye"
"Common Grackle","COGR","eastern_forests",5110,"Common Grackle",TRUE,TRUE,TRUE,"Common Grackle"
"Common Ground-Dove","COGD","aridlands",3200,"Common Ground-Dove",TRUE,FALSE,TRUE,"Common Ground Dove"
"Common Loon","COLO","waterbirds",70,"Common Loon",TRUE,TRUE,TRUE,"Common Loon"
"Common Merganser","COME","waterbirds",1290,"Common Merganser",TRUE,TRUE,TRUE,"Common Merganser"
"Common Murre","COMU","coastal",300,"Common Murre",TRUE,TRUE,TRUE,"Common Murre"
"Common Myna","COMY","urban_suburban",4932,"Common Myna",TRUE,TRUE,TRUE,"Common Myna"
"Common Nighthawk","CONI","generalists",4200,"Common Nighthawk",TRUE,TRUE,TRUE,"Common Nighthawk"
"Common Pauraque","COPA","subtropical_forests",4190,"Common Pauraque",TRUE,TRUE,TRUE,"Common Pauraque"
"Common Poorwill","COPO","aridlands",4180,"Common Poorwill",TRUE,TRUE,TRUE,"Common Poorwill"
"Common Raven","CORA","generalists",4860,"Common Raven",TRUE,TRUE,TRUE,"Common Raven"
"Common Redpoll","CORE","arctic",5280,"Common Redpoll",TRUE,FALSE,TRUE,"(Common Redpoll) Redpoll"
"Common Tern","COTE","waterbirds",700,"Common Tern",TRUE,TRUE,TRUE,"Common Tern"
"Common Yellowthroat","COYE","generalists",6810,"Common Yellowthroat",TRUE,TRUE,TRUE,"Common Yellowthroat"
"Connecticut Warbler","CONW","boreal_forests",6780,"Connecticut Warbler",TRUE,TRUE,TRUE,"Connecticut Warbler"
"Cooper's Hawk","COHA","generalists",3330,"Cooper's Hawk",TRUE,TRUE,TRUE,"Cooper's Hawk"
"Cordilleran Flycatcher","COFL","western_forests",4640,"Cordilleran Flycatcher",TRUE,FALSE,TRUE,"(Cordilleran Flycatcher) Western Flycatcher"
"Costa's Hummingbird","COHU","aridlands",4300,"Costa's Hummingbird",TRUE,TRUE,TRUE,"Costa's Hummingbird"
"Couch's Kingbird","COKI","subtropical_forests",4461,"Couch's Kingbird",TRUE,TRUE,TRUE,"Couch's Kingbird"
"Crested Caracara","CRCA","aridlands",3620,"Crested Caracara",TRUE,TRUE,TRUE,"Crested Caracara"
"Crissal Thrasher","CRTH","aridlands",7120,"Crissal Thrasher",TRUE,TRUE,TRUE,"Crissal Thrasher"
"Curve-billed Thrasher","CBTH","aridlands",7070,"Curve-billed Thrasher",TRUE,TRUE,TRUE,"Curve-billed Thrasher"
"Dark-eyed Junco","DEJU","western_forests",5677,NA,TRUE,FALSE,TRUE,"Dark-eyed Junco (all forms)"
"Dickcissel","DICK","grasslands",6040,"Dickcissel",TRUE,TRUE,TRUE,"Dickcissel"
"Double-crested Cormorant","DCCO","waterbirds",1200,"Double-crested Cormorant",TRUE,TRUE,TRUE,"Double-crested Cormorant"
"Dovekie","DOVE","coastal",340,"Dovekie",FALSE,FALSE,FALSE,NA
"Downy Woodpecker","DOWO","generalists",3940,"Downy Woodpecker",TRUE,TRUE,TRUE,"Downy Woodpecker"
"Dunlin","DUNL","waterbirds",2430,"Dunlin",TRUE,TRUE,TRUE,"Dunlin"
"Dusky Flycatcher","DUFL","western_forests",4690,"Dusky Flycatcher",TRUE,TRUE,TRUE,"Dusky Flycatcher"
"Dusky Grouse","DUGR","western_forests",NA,NA,FALSE,TRUE,TRUE,"Dusky Grouse"
"Dusky-capped Flycatcher","DCFL","western_forests",4550,"Dusky-capped Flycatcher",TRUE,TRUE,TRUE,"Dusky-capped Flycatcher"
"Eared Grebe","EAGR","marshlands",40,"Eared Grebe",TRUE,TRUE,TRUE,"Eared Grebe"
"Eastern Bluebird","EABL","eastern_forests",7660,"Eastern Bluebird",TRUE,TRUE,TRUE,"Eastern Bluebird"
"Eastern Kingbird","EAKI","grasslands",4440,"Eastern Kingbird",TRUE,TRUE,TRUE,"Eastern Kingbird"
"Eastern Meadowlark","EAME","grasslands",5010,"Eastern Meadowlark",TRUE,TRUE,TRUE,"Eastern Meadowlark"
"Eastern Phoebe","EAPH","eastern_forests",4560,"Eastern Phoebe",TRUE,TRUE,TRUE,"Eastern Phoebe"
"Eastern Screech-Owl","EASO","eastern_forests",3730,"Eastern Screech-Owl",TRUE,TRUE,TRUE,"Eastern Screech-Owl"
"Eastern Towhee","EATO","eastern_forests",5870,"Eastern Towhee",TRUE,TRUE,TRUE,"Eastern Towhee"
"Eastern Whip-poor-will","EWPW","eastern_forests",4170,"Eastern Whip-poor-will",FALSE,TRUE,TRUE,"Eastern Whip-poor-will"
"Eastern Wood-Pewee","EAWP","eastern_forests",4610,"Eastern Wood-Pewee",TRUE,TRUE,TRUE,"Eastern Wood-Pewee"
"Emperor Goose","EMGO","waterbirds",1760,"Emperor Goose",TRUE,TRUE,TRUE,"Emperor Goose"
