Common.Name,Code,Group
Mountain Quail,MOUQ,western_forests
Mourning Dove,MODO,generalists
Mourning Warbler,MOWA,boreal_forests
Muscovy Duck,MUDU,waterbirds
Mute Swan,MUSW,waterbirds
Nashville Warbler,NAWA,eastern_forests
Nelson's Sparrow,NESP,grasslands
Neotropic Cormorant,NECO,coastal
Northern Beardless-Tyrannulet,NOBT,aridlands
Northern Bobwhite,NOBO,grasslands
Northern Cardinal,NOCA,eastern_forests
Northern Flicker,NOFL,generalists
Northern Fulmar,NOFU,coastal
Northern Gannet,NOGA,coastal
Northern Goshawk,NOGO,boreal_forests
Northern Harrier,NOHA,marshlands
Northern Hawk Owl,NHOW,boreal_forests
Northern Mockingbird,NOMO,generalists
Northern Parula,NOPA,eastern_forests
Northern Pintail,NOPI,marshlands
Northern Pygmy-Owl,NOPO,western_forests
Northern Rough-winged Swallow,NRWS,generalists
Northern Saw-whet Owl,NSWO,boreal_forests
Northern Shoveler,NSHO,marshlands
Northern Shrike,NSHR,boreal_forests
Northern Waterthrush,NOWA,boreal_forests
Northwestern Crow,NOCR,generalists
Nuttall's Woodpecker,NUWO,western_forests
Oak Titmouse,OATI,western_forests
Olive Sparrow,OLSP,subtropical_forests
Olive Warbler,OLWA,subtropical_forests
Olive-sided Flycatcher,OSFL,boreal_forests
Orange-crowned Warbler,OCWA,western_forests
Orchard Oriole,OROR,eastern_forests
Osprey,OSPR,waterbirds
Ovenbird,OVEN,eastern_forests
Pacific Golden-Plover,PAGP,waterbirds
Pacific Loon,PALO,waterbirds
Pacific Wren,PAWR,western_forests
Pacific-slope Flycatcher,PSFL,western_forests
Painted Bunting,PABU,aridlands
Painted Redstart,PARE,subtropical_forests
Palm Warbler,PAWA,boreal_forests
Parasitic Jaeger,PAJA,coastal
Pectoral Sandpiper,PESA,waterbirds
Pelagic Cormorant,PECO,coastal
Peregrine Falcon,PEFA,generalists
Phainopepla,PHAI,aridlands
Philadelphia Vireo,PHVI,boreal_forests
Pied-billed Grebe,PBGR,marshlands
Pigeon Guillemot,PIGU,coastal
Pileated Woodpecker,PIWO,eastern_forests
Pine Grosbeak,PIGR,boreal_forests
Pine Siskin,PISI,western_forests
Pine Warbler,PIWA,eastern_forests
Pinyon Jay,PIJA,western_forests
Piping Plover,PIPL,coastal
Plain Chachalaca,PLCH,subtropical_forests
Plumbeous Vireo,PLVI,western_forests
Pomarine Jaeger,POJA,waterbirds
Prairie Falcon,PRFA,aridlands
Prairie Warbler,PRAW,eastern_forests
Prothonotary Warbler,PROW,eastern_forests
Purple Finch,PUFI,boreal_forests
Purple Martin,PUMA,generalists
Purple Sandpiper,PUSA,waterbirds
