"CountryNum","StateNum","Route","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID","year","developed"
840,6,57,"ANTARES",1,35.4272901,-113.8087941,87,33,1,1,2010,0.0172794697806533
840,6,58,"WILLIAMS",1,35.0556327,-112.2188339,84,34,1,1,2010,0.0744673746076271
840,6,59,"MAINE",1,35.1634107,-111.9475859,84,34,1,1,2010,0.0353969849246231
840,6,60,"CASTLE BUTTE",1,35.2779817,-110.3798989,87,16,1,1,2010,0.0405921830993289
840,6,61,"GREASEWOOD",0,35.5302347,-109.8516089,87,16,1,1,2010,0.0328806138281366
840,6,63,"ALAMO RES.",1,34.2318174,-113.5975476,82,33,1,1,2010,0.00841015867387643
840,6,64,"SKULL VALLEY",0,34.7733727,-112.6192267,87,34,1,1,2010,0.0485650510204082
840,6,65,"TONTO VILL.",1,34.3566847,-111.1008299,84,34,1,1,2010,0.0547156440087403
840,6,66,"FOREST LAKES",1,34.694845,-110.777909,84,34,1,1,2010,0.0443826921143711
840,6,67,"PINETOP",1,34.1153987,-109.9154509,84,34,1,1,2010,0.058501532283631
840,6,68,"CIBOLA LAKE",1,33.24469,-114.66142,82,33,1,1,2010,0.00725868413603462
840,6,69,"GILA BEND",1,33.2869987,-112.9375459,82,33,1,1,2010,0.00022628886265249
840,6,70,"PALO VERDE",0,33.3339864,-112.677217,82,33,1,1,2010,0.031850353892821
840,6,71,"BARTLETT RES",1,33.8177037,-111.6398389,82,34,1,1,2010,0.0408212560386473
840,6,72,"CUTTER",0,33.1754789,-110.5290913,82,34,1,1,2010,0.0203572912339011
840,6,73,"ALPINE",1,33.866935,-109.1652,84,34,1,1,2010,0.0448138359530765
840,6,74,"ARABY",1,32.8548017,-114.4452209,82,33,1,1,2010,0.18326759119138
840,6,76,"PISINIMO",0,32.1764407,-112.2624969,82,33,1,1,2010,0.0013358055705086
840,6,77,"RED ROCK",0,32.57312,-111.3291239,82,33,1,1,2010,0.0233710012382633
840,6,78,"REDINGTON",1,32.5434377,-110.5053099,81,34,1,1,2010,0.0064177946806115
840,6,79,"MT. GRAHAM",1,32.6498267,-109.8181145,81,34,1,1,2010,0.0261421033097194
840,6,80,"CABEZA PRIET",1,32.4009815,-112.9321083,82,33,1,1,2010,0.00377988262469744
840,6,81,"AMADO",1,31.7120327,-111.0671459,81,34,1,1,2010,0.0305831870489565
840,6,82,"SAHUARITA",1,31.9576267,-110.9446259,81,34,1,1,2010,0.0270969319614003
840,6,83,"MCNEAL",1,31.6464055,-109.4732045,56,34,1,1,2010,0.0273421758850411
840,6,84,"Wickenburg",1,33.962204,-112.77163,82,33,1,1,2010,NA
840,6,101,"NAVAJO TRAIL",1,36.6901017,-113.4587859,87,16,1,1,2010,0.0012842215865974
840,6,103,"KAIBITO",1,36.6095467,-111.0768659,87,16,1,1,2010,0.00860110009132032
840,6,105,"TSAILE",1,36.3019687,-109.1965869,84,16,1,1,2010,0.0394736842105263
840,6,106,"WILLOW BEACH",0,35.8663787,-114.6619869,83,33,1,1,2010,0.0086968295629713
840,6,107,"PEACH SPRING",1,35.5541565,-113.3760172,87,16,1,1,2010,0.0422600635537304
840,6,108,"SELIGMAN",1,35.2307957,-112.5859679,87,16,1,1,2010,0.0529703075970713
840,6,115,"HAPPY JACK",1,34.838905,-111.438129,84,34,1,1,2010,0.0410960406135898
840,6,116,"CLAY SPRING",1,34.6116178,-110.3781682,84,34,1,1,2010,0.0285252789713164
840,6,119,"HOPE",0,33.9225847,-113.8247909,82,33,1,1,2010,0.039042572448862
840,6,121,"CASA GRANDE",0,33.0385437,-111.3789069,82,33,1,1,2010,0.0574158288639191
840,6,122,"CARR MTN",1,33.5656117,-110.9464649,81,34,1,1,2010,0.017097442062379
840,6,123,"SPRUCEDALE",1,33.6103817,-109.1063079,84,34,1,1,2010,0.0292797832872033
840,6,126,"Ajo 2",0,32.4655,-112.86988,82,33,1,1,2010,0.0552743840194277
840,6,127,"CACTUS FOREST",1,32.9583127,-111.3334729,82,33,1,1,2010,0.0859573635830237
840,6,130,"ORGAN PIPE",1,31.9571917,-112.7999879,82,33,1,1,2010,0.0015222630978054
840,6,133,"PORTAL",1,31.9825267,-109.2013399,81,34,1,1,2010,0.0141380011178294
840,6,161,"KLAGETOH",1,35.541864,-109.322969,87,16,1,1,2010,0.0297043044712263
840,6,164,"Skull Valley 2",1,34.800807,-112.87945,87,34,1,1,2010,NA
840,6,170,"PALO VERDE 2",1,33.3339864,-112.677217,82,33,1,1,2010,0.031850353892821
840,6,172,"CUTTER 2",1,33.178809,-110.215069,82,33,1,1,2010,NA
840,6,176,"BATES WELL",1,32.3559327,-112.8270799,82,33,1,1,2010,0.00012982436617889
840,6,177,"RED ROCK 2",1,32.57312,-111.329123,82,33,1,1,2010,0.0233710012382633
840,6,206,"WILLOW BEACH 2",1,35.8663187,-114.6620259,83,33,1,1,2010,0.00831942020186689
840,6,219,"HOPE 2",1,33.922985,-113.837239,82,33,1,1,2010,NA
840,6,233,"SUNIZONA 2",1,31.75871,-109.73797,81,34,1,1,2010,NA
840,6,900,"DRAGOON",0,31.9197167,-109.9150009,81,34,1,2,2010,0.00515328641297865
840,6,901,"RUCKER",0,31.6064617,-109.2258228,81,34,1,2,2010,0.0194642981056138
840,7,1,"OLD MILO",1,33.311764,-91.890543,4,25,1,1,2010,0.146237487820002
840,7,2,"EUDORA",1,33.168504,-91.332694,5,26,1,1,2010,0.0410928672316384
840,7,3,"RAMSEY",0,33.913514,-92.593634,4,25,1,1,2010,0.0483033740267231
840,7,4,"LOCUST BAYOU",0,33.5907857,-92.6974039,4,25,1,1,2010,0.0952332450600937
840,7,5,"STAMPS",1,33.3755757,-93.4706879,4,25,1,1,2010,0.0906764010238355
840,7,6,"HOPE",1,33.6627163,-93.6694105,4,25,1,1,2010,0.0765136538419761
840,7,7,"ASHDOWN",1,33.6969877,-94.1229479,4,25,1,1,2010,0.0619862429651526
840,7,8,"HUGHES",1,34.9269397,-90.5065699,5,26,1,1,2010,0.0491082201698001
840,7,9,"WEST TYLER",0,34.7079957,-91.7000729,5,26,1,1,2010,0.0345058591938326
840,7,10,"SOUTH BEND",1,34.0487397,-91.4995419,5,26,1,1,2010,0.0323674572451141
840,7,11,"CROWS",0,34.627904,-92.796273,19,25,1,1,2010,0.158701134177094
840,7,12,"POYEN",0,34.3401497,-92.6636599,4,25,1,1,2010,0.0830214814732068
840,7,13,"HOLLYWOOD",1,34.035154,-93.256803,4,25,1,1,2010,0.0543554943393691
840,7,14,"BLAKELY",0,34.694284,-93.081193,19,25,1,1,2010,0.156471141412954
840,7,15,"WALDRON",1,34.969944,-94.043753,19,25,1,1,2010,0.0240079597331148
840,7,16,"HARRISBURG",1,35.4848667,-90.6809479,5,26,1,1,2010,0.0840049561787407
840,7,17,"WHITTON",0,35.5182337,-90.2869869,5,26,1,1,2010,0.0446790316998188
840,7,18,"AUGUSTA",0,35.3146747,-91.3577789,5,26,1,1,2010,0.0351387718933584
840,7,19,"SAFFELL",1,35.9114603,-91.3426352,19,26,1,1,2010,0.0653719789369459
840,7,20,"RUPERT",1,35.6330837,-92.7182699,19,24,1,1,2010,0.0516558337655459
840,7,21,"STARK",1,35.571494,-92.195523,19,25,1,1,2010,0.117348756561602
840,7,22,"COAL HILL",1,35.4263985,-93.6640897,19,25,1,1,2010,0.176311291647244
840,7,23,"LURTON",1,35.7806777,-93.0696409,19,24,1,1,2010,0.038058257339084
840,7,24,"MASSARD",1,35.3514159,-94.3318236,19,25,1,1,2010,0.57028121434484
840,7,25,"MAYNARD",1,36.4436877,-90.9236529,5,26,1,1,2010,0.0515952394256021
840,7,26,"ZION",1,36.0989147,-91.7354059,19,24,1,1,2010,0.0573647096109658
840,7,27,"FULTON",1,36.4061087,-92.1148009,19,24,1,1,2010,0.0528362498943275
840,7,28,"COMPTON",1,36.1206137,-93.2802279,19,24,1,1,2010,0.0402198072219182
840,7,29,"AVOCA",1,36.4053037,-94.1100149,19,24,1,1,2010,0.378720061195588
840,7,30,"Centerton",1,36.329802,-94.303299,19,24,1,1,2010,0.0934505057204444
840,7,31,"Farwell",1,36.394077,-93.472462,19,24,1,1,2010,0.0611470653871904
840,7,32,"Yellville",1,36.210562,-92.751243,19,24,1,1,2010,0.0513235124266319
840,7,33,"Ravenden Springs",1,36.313763,-91.22905,5,24,1,1,2010,0.0544035232360339
840,7,34,"Lafe",1,36.240019,-90.517158,5,26,1,1,2010,0.0287237860841922
840,7,35,"Dell",1,35.901224,-90.000225,5,26,1,1,2010,0.0478010694752252
840,7,36,"Hickory Ridge",1,35.396663,-90.966633,5,26,1,1,2010,0.0392962483829237
840,7,37,"Russell",1,35.373736,-91.658032,5,24,1,1,2010,0.0776677292450718
840,7,38,"Marshall",1,35.939336,-92.442323,19,24,1,1,2010,0.0442215661404986
840,7,39,"Havana",1,35.075027,-93.68179,19,25,1,1,2010,0.0519067012217697
840,7,40,"Hatfield",0,34.442965,-94.324251,19,25,1,1,2010,0.0547607722610467
840,7,41,"Sims",1,34.65949,-93.689266,19,25,1,1,2010,0.0484284728809175
840,7,42,"England",1,34.559183,-92.001796,4,26,1,1,2010,0.0829419692081513
840,7,43,"Gillett",1,34.13829,-91.573969,5,26,1,1,2010,0.0408393386159318
840,7,45,"Lockesburg",1,33.782848,-94.006856,4,25,1,1,2010,0.0754507809188431
840,7,46,"Springhill",1,33.026092,-93.493628,4,25,1,1,2010,0.0732949000432626
840,7,47,"Stephens",1,33.454572,-92.967494,4,25,1,1,2010,0.0662128315458224
840,7,48,"Kelso",1,33.796907,-91.220963,5,26,1,1,2010,0.0344077433186552
840,7,49,"Rudy",1,35.615095,-94.344402,19,24,1,1,2010,0.0610584189428953
840,7,102,"EUDORA 2",0,33.168534,-91.332834,5,26,1,1,2010,0.0396764252696456
840,7,103,"PRINCETON",0,33.9394687,-92.5894309,4,25,1,1,2010,0.0479878254988164
840,7,109,"ULM",1,34.7008083,-91.7077371,5,26,1,1,2010,0.0402282051023597
840,7,111,"NANCE",1,34.7023815,-92.8007333,19,25,1,1,2010,0.0831020464569922
840,7,112,"Poyen 2",1,34.339974,-92.663213,4,25,1,1,2010,0.0814673017851578
840,7,114,"DRY FORK",0,34.8282537,-93.2368089,19,25,1,1,2010,0.0684337458531007
840,7,117,"WILSON",1,35.5182227,-90.2867129,5,26,1,1,2010,0.0563727698684448
840,7,118,"AUGUSTA 2",1,35.3146835,-91.3577331,5,26,1,1,2010,0.0354141030721422
840,7,140,"Hatfield 2",1,34.462149,-94.305307,19,25,1,1,2010,0.0547607722610467
840,7,203,"Princeton 2",1,33.939504,-92.589264,4,25,1,1,2010,0.0479878254988164
840,7,214,"Dry Fork 2",1,34.817372,-93.331922,19,25,1,1,2010,NA
840,7,900,"OZARK NF",1,35.6440029,-93.2948547,19,24,1,2,2010,0.0309445291538125
840,7,901,"MAGAZINE MTN",1,35.1599347,-93.4248279,19,25,1,2,2010,0.0410267782890725
840,7,902,"BOSTON MTN.",1,35.6923427,-93.8210314,19,24,1,2,2010,0.0332161959639286
840,7,903,"FOUR LAKES",0,33.690604,-92.614034,4,25,1,2,2010,0.0477080179106401
840,7,904,"CROWLEY'S RIDGE",1,34.7364157,-90.684515,5,26,1,2,2010,NA
840,14,1,"HORSE CREEK",1,41.8223332,-123.0047055,93,5,1,1,2010,0.0434341882967286
840,14,2,"CARRVILLE",0,41.142525,-122.526786,66,5,1,1,2010,0.0581460499284069
840,14,3,"NUBIEBER",1,41.1014068,-121.2571315,85,9,1,1,2010,0.0615261685976828
840,14,4,"CRESCENT CTY",1,41.705965,-124.142766,93,5,1,1,2010,0.184824964359259
840,14,5,"HONEYDEW",1,40.2431947,-124.1233439,93,5,1,1,2010,0.0339202015780314
840,14,6,"HOLMES",1,40.4150917,-123.9615249,93,5,1,1,2010,0.0347767628478743
840,14,7,"RED BLUFF",1,40.346606,-122.307938,92,32,1,1,2010,0.0928407940490339
